<UNK> 1.0	SPN
NAKATAAS 1.0	n 6 k 6 t 6 a s
NAKATIRA 1.0	n 6 k 6 t i r a
NAKATUTOK 1.0	n 6 k 6 t u t o k
NAKIKITA 1.0	n 6 k i k i t a
NAKIKITANG 1.0	n 6 k i k i t 6 N
NALALABING 1.0	n 6 l 6 l 6 b i N
NALAMANG 1.0	n 6 l 6 m 6 N
NAMAMATAAN 1.0	n 6 m 6 m 6 t 6 a n
NAMAMAYANI 1.0	n 6 m 6 m 6 j 6 n i 
NAMAN 1.0	n 6 m 6 n
NAMANG 1.0	n 6 m 6 N
NAMATAAN 1.0	n 6 m 6 t 6 a n
NAMIN 1.0	n 6 m i n
NANANATILI 1.0	n 6 n 6 n 6 t i l i
NANATILI 1.0	n 6 n 6 t i l i 
NANDITO 1.0	n 6 n d i t o 
NANDOON 1.0	n 6 n d o o n
NANDUN 1.0	n 6 n d u n
NANDYAN 1.0	n 6 n d j 6 n 
NANGYARI 1.0	n 6 N j 6 r i
NANGYAYARI 1.0	n 6 N j 6 j 6 r i
NAPAKA 1.0	n 6 p 6 k a
NAPAKAALON 1.0	n 6 p 6 k a 6 l o n
NAPAKALAKAS 1.0	n 6 p 6 k 6 k 6 l 6 k 6 s
NAPANSIN 1.0	n 6 p 6 n s i n
NAPAPADALAS 1.0	n 6 p 6 p 6 d 6 l 6 s
NARAMDAMAN 1.0	n 6 r 6 m d 6 m 6 n
NARANASAN 1.0	n 6 r 6 n s 6 n
NARARAMDAMAN 1.0	n 6 r 6 r 6 m d 6 m 6 n
NARITO 1.0	m 6 r i t o 
NASA 1.0	n 6 s a
NASABI 1.0	n 6 s 6 b i
NATATANAW 1.0	n 6 t 6 t 6 n 6 w
NATHANIEL 1.0	n 6 T a n i e l
NATIN 1.0	n 6 t i n
NATING 1.0	n 6 t i N
NATITIRANG 1.0	n 6 t i t i r 6 N
NATURANG 1.0	n 6 t u r 6 N
NAUNA 1.0	n 6 u n a
NAUUNA 1.0	n 6 u u n a
NAUWI 1.0	n 6 u w i
NEGROS 1.0	n e g r o s
NETONG 1.0	n e t o N
NEWS 1.0	n j w s
NG 1.0	N
NGA 1.0	N a
NGAY 1.0	N 6 j
NGAYON 1.0	N g 6 j o n
NGAYONG 1.0	N 6 j o N
NGUNIT 1.0	N u n i t
NI 1.0	n i
NILA 1.0	n i l a
NILALAMAN 1.0	n i l 6 l 6 m 6 n 
NINA 1.0	n i n a
NINE 1.0	n j n
NINETEEN 1.0	n j n t i n
NINETY 1.0	n j n t j
NINYONG 1.0	n i n j o N
NITO 1.0	n i t o
NITONG 1.0	n i t o N
NIYA 1.0	n i j a
NIYAN 1.0	n i j 6 n
NIYO 1.0	n i j o
NIYONG 1.0	n i j o N
NIÑO 1.0	n i n j o
NO 1.0	n o
NOBYEMBRE 1.0	n o b j e m b r e
NONE 1.0	n o n
NORTE 1.0	n o r t e
NORTH 1.0	n o r T
NORTHEAST 1.0	n o r T i s t
NORTHERN 1.0	n o r T e r n
NORTHWEST 1.0	n o r T w e s t
NORZAGARAY 1.0	n o r z 6 g 6 r 6 j
NUEBE 1.0	n u e b e
NUEVA 1.0	n u e v 6
NUMBER 1.0	n u m b e r
NUNG 1.0	n u N
NYAN 1.0	n j a n
NYO 1.0	n j o
NYONG 1.0	n j o N
O 1.0	o
OCCASIONALLY 1.0	o k 6 s j o n 6 l j
OCCIDENTAL 1.0	o k s i d e n t 6 l
OCEAN 1.0	o S j e n
OF 1.0	o f
OK 1.0	o k 
ONE 1.0	w o n
ONSE 1.0	o n s e
ONYOK 1.0	o n j o k
OPERATION 1.0	o p e r 6 s j o n
OPO 1.0	o p o
OR 1.0	o r
ORANGE 1.0	o r 6 N dZ
ORAS 1.0	o r 6 s
ORIENTAL 1.0	o r i e n t 6 l
ORIENTATION 1.0	o r i e n t 6 s j o n
OUTING 1.0	o w t i N
PA 1.0	p i ej
PAALALA 1.0	p 6 a l 6 l a
PAALIS 1.0	p 6 a l i s
PABABA 1.0	p 6 b 6 b a
PABLO 1.0	p 6 b l o
PACIFIC 1.0	p 6 s i f i k
PAG 1.0	p 6 g
PAGALON 1.0	p 6 g 6 l o n
PAGASA 1.0	p 6 g 6 s a
PAGBAHA 1.0	p 6 g b 6 h a
PAGBATI 1.0	p 6 g b 6 t i
PAGBUGSO 1.0	p 6 g b u g s o
PAGBUGSONG 1.0	p 6 g b u g s o N
PAGDATING 1.0	p 6 g d 6 t i N
PAGGUHO 1.0	p 6 g u h o
PAGITAN 1.0	p 6 g i t 6 n
PAGKABUHAY 1.0	p 6 g k 6 b u h aj
PAGKAKAIBA 1.0	p 6 g k 6 k 6 i b a
PAGKAKATAONG 1.0	p 6 g k 6 k 6 t 6 o N
PAGKATAPOS 1.0	p 6 g k 6 t 6 p o s
PAGKAWALA 1.0	p 6 g k 6 w 6 l a
PAGKIDLAT 1.0	p 6 g k i d l 6 t
PAGKILOS 1.0	p 6 g k i l o s
PAGKULOG 1.0	p 6 g k u l o N
PAGLALAYAG 1.0	p 6 g l 6 l 6 j 6 g
PAGPAPAULAN 1.0	p 6 g p 6 p 6 u l 6 n
PAGSAPIT 1.0	p 6 g s 6 p i t 
PAGSASALUBONG 1.0	p 6 g s a l u b o N
PAGTAAS 1.0	p 6 g t 6 a s
PAGTAMA 1.0	p 6 g t 6 m a
PAGTAWID 1.0	p 6 g t 6 w i d
PAGULAN 1.0	p 6 g u l 6 n
PAHILAGA 1.0	p 6 h i l 6 g a
PAHILAGANG 1.0	p 6 h I l 6 g 6 N 
PAKANLURAN 1.0	p 6 k 6 n l u r 6 n
PALALAKASIN 1.0	p 6 l 6 l 6 k 6 s i n
PALARONG 1.0	p 6 l 6 r o N
PALAWAN 1.0	p 6 l 6 w 6 n
PALIBOT 1.0	p 6 l i b o t 
PALISADA 1.0	p 6 l i s d a 
PAMBANSA 1.0	p 6 m b 6 n s a
PAMILYA 1.0	p 6 m i l j a
PAMINSAN 1.0	p 6 m i n s 6 n
PAMPANGA 1.0	p 6 m p 6 N g 6
PAN 1.0	p 6 n
PANAHON 1.0	p 6 n 6 h o n
PANANDALIAN 1.0	p 6 n 6 n d 6 l 6 n
PANANGGA 1.0	p 6 n 6 N g a
PANAY 1.0	p 6 n 6 j
PANDAGAT 1.0	p 6 n d 6 g 6 t
PANG 1.0	p 6 N
PANGANIB 1.0	p N 6 n i b
PANGASINAN 1.0	p 6 N g 6 s i n 6 n
PANGATLONG 1.0	p 6 N 6 t l o N
PANGUNAHING 1.0	p 6 N u n 6 h i N
PANIBAGONG 1.0	p 6 n i b 6 g o N
PANONOOD 1.0	p 6 n o n o o d
PANOOD 1.0	p 6 n o o d
PANSAMANTALANG 1.0	p 6 n s 6 m 6 n t 6 l 6 N
PAPAANO 1.0	p 6 p 6 a n o
PAPALABAS 1.0	p 6 p 6 l a b a s
PAPALAKAS 1.0	p 6 p 6 l 6 k 6 s
PAPALAPIT 1.0	p 6 p 6 l 6 p i t
PAPALIT 1.0	p 6 p 6 l i t
PAPALO 1.0	p 6 p 6 l o
PAPANO 1.0	p 6 p 6 n o
PAPASOK 1.0	p 6 p 6 s o k
PAPAULAN 1.0	p 6 p 6 u l 6 n
PAPUNTA 1.0	p 6 p u n t 6
PAR 1.0	p 6 r
PARA 1.0	p 6 r 6
PARANG 1.0	p 6 r 6 N
PART 1.0	p 6 r t
PARTE 1.0	p 6 r t e
PARTENG 1.0	p 6 r t e N
PARTIKULAR 1.0	p 6 r t i k u l 6 r
PATAAS 1.0	p 6 t 6 a s
PATAY 1.0	p 6 t 6j
PATI 1.0	p 6 t i
PATROL 1.0	p 6 t r o l
PATULOY 1.0	p 6 t u l o j
PATUNGONG 1.0	p 6 t u N o N
PAU 1.0	p 6 u
PAULAN 1.0	p 6 u l 6 n
PENINSULA 1.0	p e n i n s u l a
PEPITO 1.0	p e p i t o
PER 1.0	p e r
PERCENT 1.0	p e r s e n t
PERO 1.0	p e r o
PH 1.0	p i ej tS
PHILIPPINE 1.0	f i l i p i n 
PHILLIPS 1.0	f i l i p s
PHYSICS 1.0	f j s i k s
PILING 1.0	p i l i N
PILIPINAS 1.0	p i l i p i n 6 s
PINAG 1.0	p i n 6 g
PINAGSANIB 1.0	p i N 6 g s 6 n i b
PINAIGTING 1.0	p i n 6 i g t i N
PINAKA 1.0	p i n 6 k a
PINAKAHULING 1.0	p i n 6 k 6 h u l i N
PINAKAMALAMIG 1.0	o i n 6 k 6 m 6 l 6 m i g
PINAKAMATAAS 1.0	p i n 6 k 6 m 6 t 6 a s
PINANGGAGALINGAN 1.0	p i n 6 N g 6 g 6 l
PINAPAYAGAN 1.0	p i n 6 p 6 j 6 g 6 n
PINAPAYAGANG 1.0	p i n 6 p 6 j 6 g 6 N
PINAPAYUHANG 1.0	p i n 6 p 6 j u h 6 N
PINK 1.0	p i n k 
PM 1.0	p i e m
PO 1.0	p o 
POINT 1.0	p o i n t
POLILLO 1.0	p o l i l j o
PONG 1.0	p o N
POPULATED 1.0	p o p j u l { t e d
PORSYENTO 1.0	p o r S e n t o 
PORTION 1.0	p o r t i o n
POSIBLE 1.0	p o s i b l 
POSIBLENG 1.0	p o s i b l e N
PRE 1.0	p r e
PRESSURE 1.0	p r e s u r e
PREVAILING 1.0	p r e v 6 i l i N
PRINCESA 1.0	p r i n s e s a
PROBABILITY 1.0	p r o b 6 b i l i t j
PROBINSYA 1.0	p r o b i n S a
PROBLEMA 1.0	p r o b l e m 6
PRONE 1.0	p r o n 
PROVINCE 1.0	p r o v i n s
PROVINCES 1.0	p r o v i n s e s
PUERTO 1.0	p u w e r t o
PULA 1.0	p u l a
PULO 1.0	p u l o
PULO-PULONG 1.0	p u l o p u l o N
PUMALAOT 1.0	p u m 6 l 6 o t
PUMALO 1.0	p u m 6 l o
PUMAPALO 1.0	p u m 6 p 6 l o
PUMAPATAK 1.0	p u m 6 p 6 t 6 k
PUMASOK 1.0	p u m 6 s o k
PUNG 1.0	p u N
PUNO 1.0	p u n o
PUPUNTA 1.0	p u p u n t a
PURO 1.0	p u r o
PUWERSA 1.0	p u w e r s a
PWEDE 1.0	p w e d e
PWEDENG 1.0	p w e d e N
QUARTER 1.0	k w a r t e r
QUATRO 1.0	k w 6 t r o
QUEZON 1.0	k e s o n
QUIRINO 1.0	k i r i n o 
RADYO 1.0	r 6 j ow
RAIN 1.0	r 6j n
RAINFALL 1.0	r 6j n f a l
RAINS 1.0	r 6j n s
RAINSHOWERS 1.0	r 6j n S o w e r s
RAMDAM 1.0	r 6 m d 6 m
RANGE 1.0	r { n g 
RANGES 1.0	r { n g s
READY 1.0	r e d j
REAL 1.0	r i l
RECORD 1.0	r e k o r d
REGION 1.0	r e g i o n
REHIYON 1.0	r e h i j o n
RESCUE 1.0	r e s k j u
RESIDENT 1.0	r e s i d e n t
RESIDENTE 1.0	r e s i d e n t e
RESPONSIBILITY 1.0	r e s p o n s i b i l t j
REST 1.0	r e s t
RETRIEVAL 1.0	r e t r i v 6 l
RIN 1.0	r i n
RING 1.0	r i N
RITO 1.0	r i t o
RIZAL 1.0	r i z 6 l
ROMBLON 1.0	r o m b l o n
ROSITA 1.0	r o s i t a
SA 1.0	s 6
SAAN 1.0	s 6 a n
SABADO 1.0	s 6 b 6 d o
SABIHIN 1.0	s 6 b i h i n
SAIS 1.0	s 6 i s
SAKAHAN 1.0	s 6 k 6 h a n
SALAMAT 1.0	s 6 l 6 m 6 t
SAMA 1.0	s 6 m a
SAMANTALA 1.0	s 6 m 6 n t 6 l 6
SAMANTALANG 1.0	s 6 m 6 n t 6 l 6 N
SAMAR 1.0	s 6 m 6 r
SAMUEL 1.0	s 6 m u e l
SANTO 1.0	s 6 n t o
SANTOS 1.0	s 6 n t o s
SAPAGKAT 1.0	s 6 p 6 g k 6 t
SASAKYANG 1.0	s a s a k j 6 n
SATELLITE 1.0	s a t e l aj t
SEA 1.0	s i
SEABOARD 1.0	s i b o r d
SEABOARDS 1.0	s i b o r d s
SEASON 1.0	s i s o n
SECTION 1.0	s e k S o n
SENDONG 1.0	s e n d o N
SERBISYONG 1.0	s e r b i S o N
SEVEN 1.0	s e v e n
SEVENTEEN 1.0	s e v e t i n
SEVENTY 1.0	s e v e n t j
SHANSHAN 1.0	S 6 n S a n
SHERY 1.0	S e r j
SHERYL 1.0	S e r i l
SHOWERS 1.0	S ow e r s 
SI 1.0	s i
SIDE 1.0	s i d
SIERRA 1.0	s i e r a
SIGNAL 1.0	s i g n 6 l
SIGNALS 1.0	s i g n 6 l s
SIGURADO 1.0	s i g u r 6 d o
SIGURADUHIN 1.0	s i g u r 6 d u h i n
SILA 1.0	s i l a
SILANGAN 1.0	s i l 6 N 6 n
SILANGANG 1.0	s i l 6 N 6 N
SILIPIN 1.0	s i l i p i n
SIMULA 1.0	s i m u l a
SINABING 1.0	s i n 6 b i N
SINAIT 1.0	s i n 6 i t
SINGKO 1.0	s i N k o
SINUSUNDAN 1.0	s i n u s u n d 6 n
SIQUIJOR 1.0	s i k i h o r
SISIKAT 1.0	s i s i k 6 t
SIX 1.0	s i k s
SIXTEEN 1.0	s i k s t i n
SIXTY 1.0	s i k s t j
SIYA 1.0	s i j 6
SIYANG 1.0	s i j 6 N
SO 1.0	s o
SOCSARGEN 1.0	s o c s 6 r g e n
SOUTH 1.0	s aw T
SOUTHERN 1.0	s aw T e r n
SOUTHWEST 1.0	s aw T w e s t
SPELL 1.0	s p e l
STANLEY 1.0	s t 6 n l e j
STORM 1.0	s t o r m
STRENGTH 1.0	s t r e N T
STRESS 1.0	s t r e s
SUBAYBAY 1.0	s u b 6 j b 6 j
STROKE 1.0	s t r o k
SUBIC 1.0	s u b i k
SUGATAN 1.0	s u g 6 t 6 n
SUNDAY 1.0	s u n d ej
SUNGIT 1.0	s u N i t
SUNOG 1.0	s u n o g
SUNRISE 1.0	s u n r i s V
SUNSET 1.0	s u n s e t
SUPER 1.0	s u p e r
SUR 1.0	s u r
SURGE 1.0	s u r dZ
SURIGAO 1.0	s u r i g 6 o
SUSTAINED 1.0	s u s t aj n d
SUSUNOD 1.0	s u s u n o d
SYSTEM 1.0	s i s t e m
SYUDAD 1.0	s j u d 6 d
TAAS 1.0	t 6 a s
TAGA 1.0	t 6 g a
TAGAPANOOD 1.0	t 6 g 6 p 6 n o o d
TAGAYTAY 1.0	t 6 g 6j t aj
TAGBILARAN 1.0	t 6 g b i l 6 r 6 n
TAGLAY 1.0	t 6 g l 6 j
TAIL 1.0	t ej l
TAKBO 1.0	t 6 k b o
TAMA 1.0	t 6 m 6
TAMAAN 1.0	t 6 m 6 a n
TANGHALI 1.0	t 6 N h 6 l i
TANI 1.0	t 6 n i
TAO 1.0	t 6 o
TAPOS 1.0	t 6 p o s
TARLAC 1.0	t 6 r l 6 c
TATAAS 1.0	t 6 t 6 a s
TATAMA 1.0	t 6 t 6 m 6
TATAWIDIN 1.0	t 6 t 6w i d i n
TATAWIRIN 1.0	t 6 t 6w i r i n
TATLO 1.0	t 6 t l o
TATLONG 1.0	t 6 t l o N
TAYA 1.0	t 6 j 6
TAYO 1.0	t 6 j o
TAYONG 1.0	t 6 j o N
TED 1.0	t e d
TEMPERATURA 1.0	t e m p e r 6 t u r 6
TEMPERATURE 1.0	t e m p e r { t u r 
TEMPERATURES 1.0	t e m p e r { t u r s
TEN 1.0	t e n
TERMS 1.0	t e r m s
THAT 1.0	T { t
THE 1.0	T a
THIRTY 1.0	T 3 r t j
THIS 1.0	T I s
THOUSAND 1.0	T o u s a n d
THREE 1.0	T r i
THUNDERSTORM 1.0	T u n d e r s t o r m
THUNDERSTORMS 1.0	T u n d e r s t o r m s
TIME 1.0	t i m
TIMOG 1.0	t i m o g
TINAAS 1.0	t i n 6 a s
TINATAWAG 1.0	t i n 6 t 6 w 6 g
TINATAYA 1.0	t i n 6 t 6 j 6
TINATAYANG 1.0	t i n a t j 6 N
TINAWAG 1.0	t i n 6 w 6 g
TININGNAN 1.0	t i n i N n 6 n
TITIGNAN 1.0	t i t i g 6 n
TITINGNAN 1.0	t i t i N n 6 n
TO 1.0	t o
TODAY 1.0	t o d ej
TOMORROW 1.0	t o m o r o w
TORNADO 1.0	t o r n ej d o
TOTOO 1.0	t o t o o
TOWARDS 1.0	t o w 6 r d s
TRACK 1.0	t r 6 k
TRAHEDYA 1.0	t r 6 h e d j 6
TRENTAY 1.0	t r e t aj
TRESE 1.0	t r e s e
TROPICAL 1.0	t r o p i k 6 l
TROUGH 1.0	t r 6 f
TSAKA 1.0	tS 6 k 6
TSANSA 1.0	tS 6 n s 6
TSANSANG 1.0	tS 6 n s 6 N
TUBIG 1.0	t u b i g
TUGUEGARAO 1.0	t u g e g 6 r 6 o
TULAD 1.0	t u l 6 d
TULOY 1.0	t u l o j
TUMAMA 1.0	t u m 6 m 6
TUMAMANG 1.0	t u m 6 m 6 N
TUMATAMA 1.0	t u m 6 t 6 m 6
TUNGKOL 1.0	t u N k o l
TUTUMBUKIN 1.0	t u t u m b u k i n
TUWING 1.0	t u w i N
TUYONG 1.0	t u j o N
TV 1.0	t i v i
TWELVE 1.0	t u e l v
TWENTY 1.0	t u e n t i
TWITTER 1.0	t u i t e r
TWO 1.0	t u
TYPHOON 1.0	t aj f U n
U 1.0	u
ULAN 1.0	u l 6 n
ULAP 1.0	u l 6 p
ULAT 1.0	u l 6 t
ULI 1.0	u l i
ULIT 1.0	u l i t
UMAABOT 1.0	u m 6 a b o t
UMABOT 1.0	u m 6 b o t
UMAGA 1.0	u m 6 g 6
UMIIRAL 1.0	u m i i l 6 w
UMULAN 1.0	u m u l 6 n
UNA 1.0	u n 6
UNANG 1.0	u n 6 N
UNA'Y 1.0	u n 6 aj
UNDERSCORE 1.0	6 n d e r s k o r
UNION 1.0	j u n i o n
UP 1.0	j u p i
UPDATE 1.0	6 p d 6 j t
UULAN 1.0	u u l 6 n
UULAT 1.0	u u l 6 t
UUSAPAN 1.0	u u s 6 p 6 n
UUWI 1.0	u u w i
VALLEY 1.0	v 6 l i
VICINITY 1.0	v i s i n i t i
VISAYAS 1.0	v i s 6 j 6 s
VISIBILITY 1.0	v i s i b i l i t i
VIZCAYA 1.0	v i z k 6 j 6
VIZCAYAT 1.0	v i z k 6 j 6 t
WW 1.0	d a b 6 l j u d a b 6 l j u
WAG 1.0	w 6 g
WALA 1.0	w 6 l 6
WALANG 1.0	w 6 l 6 N
WARNING 1.0	w 6 r n i N
WE 1.0	w i
WEATHER 1.0	w e T e r
WEBSITE 1.0	w e b s aj t
WEEK 1.0	w i k
WEEKEND 1.0	w i k e n d
WELCOME 1.0	w e l k 6 m
WELL 1.0	w e l
WEST 1.0	w e s t
WESTERN 1.0	w e s t e r n
WESTWARD 1.0	w e s t w 6 r d 
WHICH 1.0	w i tS
WIND 1.0	w i n d
WINDS 1.0	w i n d s
WOW 1.0	w 6 w
YAN 1.0	j 6 n
YANG 1.0	j 6 N
YEAR 1.0	j i r
YELLOW 1.0	j e l ow
YELO 1.0	j e l o
YES 1.0	j e s
YOLANDA 1.0	j o l 6 n d 6
YOLANDANG 1.0	j o l 6 n d 6 N
YOUTUBE 1.0	j U t u b
YUN 1.0	j U n
YUNG 1.0	j U N
ZAMBALES 1.0	z 6 m b 6 l e s
ZAMBOANGA 1.0	z a m b o 6 N g 6
ZERO 1.0	z i r o
ZONE 1.0	z ow n
